HighEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.03
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
140000,4480000,0.342795,0.388797,3.07302,12.7089,0.508397,8.3432,8.29752,4.80198,0.288288,0.205304,0.364976,
142000,4544000,0.343621,0.401406,3.04113,12.8717,1.20408,8.42595,8.37893,4.94749,0.853422,0.466325,0.709943,
144000,4608000,0.344454,0.403641,2.91092,13.0673,0.645565,8.52596,8.47703,5.11873,0.386177,0.262668,0.445675,
146000,4672000,0.345265,0.403625,2.82365,13.2402,1.14772,8.61538,8.56392,5.26653,0.867994,0.476501,0.580342,
148000,4736000,0.346355,0.425953,2.72363,13.4605,2.25106,8.72901,8.67504,5.45274,1.43332,0.940147,1.45911,
150000,4800000,0.347701,0.447313,2.61986,13.6873,0.934442,8.84643,8.78931,5.64195,0.60197,0.448402,0.556551,
152000,4864000,0.348977,0.444609,2.50522,13.9434,1.2262,8.98004,8.91919,5.85022,0.859592,0.535771,0.691101,
154000,4928000,0.350427,0.460656,2.37701,14.1938,2.04552,9.11115,9.04581,6.05181,1.29279,0.833278,1.34852,
156000,4992000,0.352117,0.48225,2.28726,14.4385,1.833,9.2395,9.16928,6.24702,1.24736,0.738974,1.12155,
158000,5056000,0.353927,0.495109,2.21451,14.6921,0.868193,9.37262,9.29781,6.44702,0.580327,0.343716,0.546662,
160000,5120000,0.355862,0.508687,2.06305,14.9447,1.2894,9.50608,9.42534,6.64382,0.831981,0.524001,0.834132,
162000,5184000,0.357968,0.526484,1.96896,15.2039,0.872208,9.64235,9.55681,6.84481,0.493036,0.287122,0.659714,
164000,5248000,0.360117,0.534156,1.82718,15.4644,0.886223,9.77984,9.68874,7.04488,0.567559,0.288312,0.616558,
166000,5312000,0.362503,0.558187,1.6674,15.7721,1.42887,9.94203,9.84638,7.27763,0.910899,0.630758,0.902269,
168000,5376000,0.364865,0.560906,1.51568,16.01,0.988175,10.0689,9.9667,7.45676,0.514754,0.335723,0.773827,
170000,5440000,0.367367,0.577516,1.36464,16.2518,1.05405,10.1976,10.0898,7.63712,0.690963,0.431967,0.668586,
172000,5504000,0.369915,0.5865,1.18865,16.4589,0.678552,10.307,10.1951,7.79233,0.381756,0.222358,0.515026,
174000,5568000,0.372441,0.589688,1.11749,16.6315,1.45209,10.3993,10.2814,7.92186,0.916602,0.499647,1.00934,
176000,5632000,0.375012,0.598703,1.01051,16.8121,1.3717,10.4959,10.3735,8.0545,0.713547,0.499766,1.05955,
178000,5696000,0.377611,0.606328,0.980063,16.9612,1.17817,10.5766,10.4478,8.16459,0.680607,0.408061,0.870831,
180000,5760000,0.380156,0.606625,0.934744,17.0971,1.78168,10.65,10.5149,8.26584,1.09991,0.65462,1.23937,
182000,5824000,0.382703,0.611984,0.862079,17.2163,1.30728,10.7147,10.5737,8.35415,0.67167,0.463591,1.02123,
184000,5888000,0.385224,0.614625,0.872856,17.3609,0.601343,10.7919,10.6469,8.46055,0.276102,0.183891,0.501563,
186000,5952000,0.387841,0.628609,0.769891,17.4934,1.1882,10.863,10.7136,8.55756,0.599317,0.410058,0.940473,
188000,6016000,0.390432,0.631359,0.663576,17.6444,0.570263,10.944,10.7919,8.66542,0.34269,0.193031,0.412919,
190000,6080000,0.392996,0.634016,0.5822,17.7449,0.509227,10.9983,10.8426,8.73817,0.310784,0.158266,0.371049,
192000,6144000,0.395555,0.638641,0.619418,17.8411,0.791344,11.0509,10.8899,8.80863,0.414368,0.254423,0.624334,
194000,6208000,0.398076,0.640109,0.493023,17.9475,1.487,11.1077,10.9445,8.88524,0.781845,0.441788,1.1852,
196000,6272000,0.400534,0.639,0.488015,18.0249,1.52171,11.1505,10.983,8.94067,0.953508,0.569998,1.03997,
198000,6336000,0.402961,0.640781,0.506859,18.1132,0.829844,11.1983,11.0277,9.00414,0.422648,0.267026,0.66235,
200000,6400000,0.40541,0.647875,0.432337,18.191,1.43168,11.2405,11.0669,9.06013,0.867542,0.463877,1.04014,
202000,6464000,0.407667,0.633313,0.476972,18.2248,0.862976,11.2588,11.0815,9.08747,0.607864,0.330757,0.515585,
204000,6528000,0.409952,0.64075,0.433494,18.2865,0.560343,11.2925,11.1116,9.13289,0.312024,0.16739,0.434288,
206000,6592000,0.412211,0.642672,0.401479,18.3345,0.40323,11.3192,11.1347,9.16773,0.306741,0.135531,0.22391,
208000,6656000,0.414499,0.650141,0.340025,18.3773,4.19184,11.3422,11.155,9.20021,2.77426,1.40838,2.80918,
210000,6720000,0.41663,0.638266,0.384669,18.4233,1.01894,11.368,11.1769,9.23373,0.632057,0.364736,0.711128,
212000,6784000,0.418883,0.655453,0.346359,18.4713,1.35851,11.3948,11.2007,9.26774,0.788753,0.487667,0.99277,
214000,6848000,0.421032,0.648766,0.371289,18.5113,0.394482,11.4165,11.219,9.29859,0.281574,0.121744,0.248014,
216000,6912000,0.423163,0.651187,0.366244,18.5393,0.17661,11.4326,11.2315,9.31971,0.114156,0.0606194,0.120353,
218000,6976000,0.425237,0.649312,0.309419,18.582,0.165867,11.4558,11.2521,9.35105,0.0720295,0.0540895,0.139276,
220000,7040000,0.427304,0.652562,0.301256,18.6199,0.583437,11.4771,11.2702,9.37867,0.318902,0.127377,0.471673,
222000,7104000,0.429323,0.651453,0.32076,18.6639,0.805531,11.5015,11.2917,9.41031,0.513698,0.350388,0.512077,
224000,7168000,0.431395,0.661391,0.271663,18.6967,0.562311,11.5202,11.3073,9.43396,0.390291,0.1569,0.373161,
226000,7232000,0.433378,0.655406,0.318129,18.7401,0.589434,11.5449,11.3281,9.46474,0.356155,0.169494,0.438016,
228000,7296000,0.435281,0.650359,0.262908,18.7771,0.355088,11.5652,11.346,9.49163,0.147751,0.118833,0.300226,
230000,7360000,0.43716,0.651375,0.264529,18.8121,0.528263,11.5845,11.3628,9.51739,0.321976,0.176156,0.37995,
232000,7424000,0.439021,0.652984,0.320324,18.8434,0.763999,11.6028,11.3771,9.54002,0.46725,0.232867,0.557804,
234000,7488000,0.440903,0.659203,0.284846,18.8816,1.48903,11.6248,11.3952,9.5669,0.840815,0.51856,1.11416,
236000,7552000,0.442655,0.647641,0.292783,18.9132,1.08414,11.6429,11.4091,9.59088,0.649654,0.376411,0.782064,
238000,7616000,0.444386,0.648734,0.343616,18.9576,0.647327,11.6692,11.4296,9.62217,0.38274,0.176298,0.491386,
240000,7680000,0.446082,0.647875,0.323265,18.9882,0.754817,11.6873,11.4427,9.64487,0.464443,0.273172,0.5286,
242000,7744000,0.447831,0.657687,0.354811,19.0435,0.609258,11.7186,11.4685,9.68522,0.31209,0.193178,0.486289,
244000,7808000,0.449499,0.651344,0.306163,19.0945,1.7466,11.7478,11.4928,9.72133,1.2756,0.634221,1.01056,
246000,7872000,0.451164,0.65425,0.357781,19.1383,3.34567,11.7734,11.5123,9.75332,1.97888,1.19448,2.41883,
248000,7936000,0.452806,0.654766,0.398663,19.1822,1.18686,11.7991,11.5319,9.78548,0.857529,0.484281,0.662392,
250000,8000000,0.454367,0.647953,0.45352,19.2255,0.820016,11.825,11.5498,9.81776,0.56781,0.243979,0.538974,
252000,8064000,0.45598,0.657609,0.326717,19.2828,0.734637,11.8585,11.5774,9.85739,0.439587,0.179181,0.560668,
