MedEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.01
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
284000,9088000,0.449826,0.5825,0.164189,18.5013,0.852054,11.5095,11.2031,9.18251,0.527764,0.327481,0.583282,
286000,9152000,0.450727,0.578766,0.17552,18.5164,0.748819,11.5198,11.2093,9.1925,0.566083,0.289447,0.395601,
288000,9216000,0.451613,0.578313,0.163836,18.5377,0.560736,11.5332,11.219,9.20677,0.365719,0.21394,0.367293,
290000,9280000,0.452499,0.58,0.154489,18.5664,0.308372,11.5504,11.233,9.22606,0.198277,0.131014,0.196507,
292000,9344000,0.453339,0.575219,0.124671,18.582,1.42497,11.5599,11.2399,9.23708,0.99484,0.489502,0.895114,
294000,9408000,0.454213,0.581797,0.147752,18.6094,0.128979,11.5763,11.2528,9.2559,0.0946696,0.0491356,0.0725177,
296000,9472000,0.455112,0.587219,0.156153,18.6251,0.298743,11.5868,11.2595,9.26619,0.217389,0.115086,0.169541,
298000,9536000,0.455944,0.579109,0.183124,18.6475,0.319886,11.601,11.2697,9.28116,0.225268,0.107395,0.200119,
300000,9600000,0.456766,0.579219,0.159776,18.6708,0.395943,11.6153,11.2806,9.29681,0.28699,0.135791,0.236576,
302000,9664000,0.457617,0.585328,0.161783,18.6915,1.15618,11.6287,11.2895,9.31093,0.824633,0.517262,0.623846,
304000,9728000,0.458419,0.579484,0.159291,18.7201,0.298359,11.6463,11.3029,9.3301,0.237858,0.102819,0.147884,
306000,9792000,0.459264,0.587656,0.145333,18.7483,0.180319,11.6638,11.3164,9.34852,0.104927,0.0749507,0.126047,
308000,9856000,0.460023,0.576172,0.158652,18.7669,2.60652,11.6761,11.3242,9.36092,1.86706,1.09968,1.44871,
310000,9920000,0.460817,0.583094,0.162501,18.794,1.62568,11.6926,11.337,9.37923,1.18524,0.600213,0.936898,
312000,9984000,0.461542,0.573984,0.137572,18.8112,0.530445,11.7037,11.3448,9.39045,0.391843,0.159252,0.320108,
314000,10048000,0.46233,0.585141,0.131638,18.8317,1.14985,11.7171,11.3536,9.40399,0.944889,0.431114,0.493436,
316000,10112000,0.463089,0.582375,0.143594,18.8456,0.277673,11.7264,11.3598,9.41306,0.184208,0.0938804,0.185353,
318000,10176000,0.463767,0.570891,0.154226,18.8518,0.315393,11.7315,11.361,9.41751,0.252635,0.0994838,0.160472,
320000,10240000,0.464489,0.579234,0.17893,18.8638,1.96785,11.7401,11.3655,9.4255,1.3541,0.760881,1.20827,
322000,10304000,0.465229,0.583687,0.177078,18.8793,0.774608,11.751,11.3717,9.43533,0.567124,0.311644,0.425754,
324000,10368000,0.465983,0.587391,0.152834,18.8994,0.371069,11.7639,11.3808,9.44851,0.298559,0.139374,0.170673,
326000,10432000,0.466691,0.58125,0.172279,18.9198,1.02827,11.7778,11.3894,9.46166,0.769147,0.372149,0.572056,
328000,10496000,0.467413,0.585172,0.17111,18.9418,1.01614,11.7923,11.3992,9.47592,0.830966,0.308836,0.496644,
330000,10560000,0.468087,0.578547,0.151035,18.9634,1.64605,11.8065,11.4087,9.48996,1.23111,0.650495,0.877914,
332000,10624000,0.468756,0.579172,0.148855,18.9785,0.632941,11.8173,11.4147,9.49944,0.478791,0.235182,0.340681,
334000,10688000,0.469383,0.573578,0.146219,18.9857,0.463544,11.8231,11.4164,9.50456,0.36308,0.181824,0.223576,
336000,10752000,0.470034,0.578625,0.15795,19.0007,0.334239,11.833,11.4229,9.51452,0.250538,0.123344,0.183664,
338000,10816000,0.470739,0.589281,0.150995,19.0126,0.534911,11.842,11.4269,9.52207,0.358229,0.20385,0.34095,
340000,10880000,0.471403,0.583656,0.146259,19.0363,1.36328,11.8563,11.4384,9.53787,0.920184,0.490256,0.878321,
342000,10944000,0.472068,0.584969,0.15993,19.0461,0.229079,11.8647,11.441,9.54396,0.176681,0.0897694,0.114902,
344000,11008000,0.472685,0.578313,0.165879,19.0683,0.795744,11.8789,11.4515,9.55805,0.615729,0.253211,0.435856,
346000,11072000,0.47327,0.573828,0.147622,19.0797,0.679744,11.8868,11.4562,9.56539,0.543134,0.222708,0.342722,
348000,11136000,0.473901,0.583016,0.12818,19.1022,0.648068,11.9006,11.4671,9.58002,0.399188,0.242617,0.449197,
350000,11200000,0.474549,0.587359,0.14487,19.123,0.63613,11.9139,11.4764,9.59364,0.469943,0.214364,0.371299,
352000,11264000,0.475127,0.576297,0.14933,19.1436,0.514589,11.9273,11.4858,9.60689,0.344833,0.189614,0.33157,
354000,11328000,0.475752,0.585719,0.142451,19.1575,0.669011,11.9374,11.4914,9.61548,0.519464,0.217642,0.36106,
356000,11392000,0.476424,0.595375,0.146126,19.1645,1.42887,11.9438,11.4928,9.61973,1.088,0.604355,0.701919,
358000,11456000,0.477007,0.580781,0.150003,19.1948,0.40324,11.9625,11.5073,9.63946,0.283638,0.147194,0.245938,
360000,11520000,0.477569,0.578188,0.146055,19.2117,0.343887,11.9741,11.5146,9.65005,0.312643,0.0901861,0.111259,
362000,11584000,0.478162,0.584859,0.1493,19.2247,0.307436,11.9833,11.5197,9.65841,0.221263,0.109901,0.182979,
364000,11648000,0.47872,0.579797,0.165136,19.2445,0.721235,11.9965,11.5284,9.67117,0.524654,0.246684,0.429027,
366000,11712000,0.479274,0.580094,0.16475,19.2518,0.566333,12.0028,11.5304,9.67551,0.457919,0.216898,0.252979,
368000,11776000,0.479858,0.586672,0.158265,19.257,0.572677,12.0081,11.5311,9.67832,0.455731,0.189908,0.290179,
370000,11840000,0.480377,0.575797,0.140442,19.2752,0.339818,12.0199,11.5395,9.69005,0.273756,0.115299,0.165045,
372000,11904000,0.480894,0.576672,0.117455,19.2912,0.836444,12.0301,11.5468,9.70028,0.647657,0.308923,0.429821,
374000,11968000,0.481421,0.579313,0.141277,19.3021,0.53118,12.0386,11.5508,9.70695,0.37297,0.211375,0.313634,
376000,12032000,0.481979,0.586422,0.158553,19.3109,0.509154,12.0458,11.5534,9.71222,0.452987,0.13125,0.191871,
378000,12096000,0.482467,0.574125,0.154458,19.3343,2.26169,12.0603,11.5644,9.72762,1.70979,0.975642,1.11356,
380000,12160000,0.483013,0.586312,0.148379,19.3559,0.499008,12.0745,11.5741,9.74162,0.33351,0.190496,0.318577,
382000,12224000,0.483546,0.584828,0.136629,19.3679,0.202664,12.083,11.579,9.74889,0.165054,0.0741488,0.091278,
384000,12288000,0.484078,0.585656,0.149326,19.3844,0.209286,12.0944,11.586,9.75929,0.172455,0.0787369,0.0886592,
386000,12352000,0.484588,0.582547,0.154925,19.3975,1.4391,12.1043,11.5907,9.76752,0.999394,0.576319,0.860275,
388000,12416000,0.485084,0.580688,0.167672,19.4129,2.18171,12.1155,11.5967,9.77707,1.54973,0.863652,1.26978,
