NoEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
134000,4288000,0.352983,0.443156,0.742532,13.5316,0.863425,8.76475,8.70525,5.52288,0.777432,0.276115,0.254681,
136000,4352000,0.354202,0.435891,0.705979,13.5856,0.544704,8.80115,8.72894,5.56009,0.437721,0.221657,0.236582,
138000,4416000,0.355546,0.446969,0.750907,13.668,1.05703,8.85226,8.767,5.62056,0.822948,0.421984,0.511858,
140000,4480000,0.356928,0.452266,0.707491,13.756,0.699325,8.90561,8.80824,5.68614,0.566233,0.264724,0.313619,
142000,4544000,0.358168,0.444984,0.684599,13.8241,0.458561,8.94839,8.83941,5.73552,0.417894,0.157406,0.104237,
144000,4608000,0.35939,0.446109,0.624332,13.9198,1.94434,9.00627,8.88474,5.80607,1.52336,0.829627,0.878383,
146000,4672000,0.360633,0.450172,0.572382,13.9909,0.925358,9.05036,8.9178,5.85731,0.683509,0.355903,0.512285,
148000,4736000,0.361783,0.445734,0.486772,14.0612,1.06497,9.09313,8.95116,5.90844,0.955882,0.318599,0.344872,
150000,4800000,0.363077,0.458828,0.514073,14.1418,2.18076,9.14298,8.989,5.96606,1.73835,1.00248,0.853758,
152000,4864000,0.364229,0.450594,0.451272,14.2128,5.09703,9.18751,9.02226,6.01599,4.28813,1.92923,1.96715,
154000,4928000,0.365373,0.452312,0.389058,14.2885,1.70964,9.23275,9.05893,6.07066,1.31624,0.74244,0.799479,
156000,4992000,0.366574,0.459078,0.372908,14.3554,0.723875,9.27301,9.09128,6.11868,0.580783,0.286137,0.323745,
158000,5056000,0.367724,0.457437,0.359171,14.4189,0.433221,9.31215,9.12158,6.16328,0.383755,0.159318,0.122597,
160000,5120000,0.36886,0.458562,0.364675,14.464,0.726827,9.34332,9.14132,6.19245,0.645201,0.230811,0.242322,
162000,5184000,0.370026,0.463344,0.341619,14.5336,0.974956,9.38677,9.17439,6.24064,0.750274,0.349436,0.515288,
164000,5248000,0.371093,0.457531,0.308672,14.5787,1.05398,9.41706,9.19482,6.26988,0.860147,0.422745,0.438533,
166000,5312000,0.372216,0.464297,0.305681,14.6302,0.644932,9.45208,9.21813,6.30292,0.57397,0.23629,0.175105,
168000,5376000,0.373336,0.46625,0.291581,14.6811,1.19833,9.48602,9.24141,6.3362,0.997506,0.477355,0.461647,
170000,5440000,0.374314,0.456484,0.268773,14.7336,0.698666,9.51996,9.26591,6.37126,0.552296,0.321426,0.282468,
172000,5504000,0.37543,0.470344,0.256321,14.7593,2.37554,9.53982,9.27638,6.38573,1.92742,1.02565,0.936098,
174000,5568000,0.376467,0.465609,0.258416,14.8053,0.568171,9.57109,9.29732,6.41484,0.453678,0.253121,0.230052,
176000,5632000,0.37741,0.459437,0.238252,14.8498,0.434564,9.59952,9.31837,6.44463,0.376351,0.15792,0.149222,
178000,5696000,0.378377,0.463516,0.232274,14.8951,0.277619,9.6298,9.33916,6.47388,0.227852,0.125203,0.0973664,
180000,5760000,0.37935,0.465922,0.226344,14.9276,0.416332,9.65398,9.35304,6.49275,0.360745,0.135853,0.157285,
182000,5824000,0.380226,0.459047,0.201099,14.9783,1.88411,9.68497,9.3777,6.52749,1.5803,0.798465,0.64419,
184000,5888000,0.381153,0.465547,0.19707,15.0075,2.72004,9.70512,9.39091,6.5458,1.90682,1.08488,1.60801,
186000,5952000,0.3821,0.46925,0.188385,15.0566,0.990338,9.73652,9.41415,6.57839,0.84199,0.399555,0.33493,
188000,6016000,0.383013,0.467859,0.180113,15.0957,1.91115,9.76272,9.43202,6.60342,1.63399,0.745602,0.653165,
190000,6080000,0.383905,0.467813,0.211359,15.1204,0.744946,9.78335,9.44158,6.61572,0.672283,0.252305,0.198301,
192000,6144000,0.384783,0.468156,0.192573,15.1512,1.5642,9.80663,9.45457,6.63321,1.3603,0.566468,0.524805,
194000,6208000,0.385623,0.466234,0.187101,15.1849,0.360607,9.83075,9.46943,6.6534,0.304275,0.150323,0.121889,
196000,6272000,0.386427,0.464438,0.212705,15.222,0.391682,9.85746,9.48571,6.67534,0.352714,0.113897,0.126629,
198000,6336000,0.387289,0.47175,0.168839,15.2482,0.475548,9.8772,9.49687,6.69004,0.434849,0.159722,0.107431,
200000,6400000,0.388119,0.470313,0.159074,15.2891,0.446846,9.90404,9.51606,6.71656,0.392472,0.170137,0.129194,
202000,6464000,0.388902,0.467219,0.162638,15.3321,0.945509,9.93342,9.53579,6.74317,0.857491,0.321099,0.235782,
204000,6528000,0.389664,0.466563,0.154439,15.3626,0.543809,9.95591,9.54898,6.76069,0.49547,0.181675,0.13127,
206000,6592000,0.390446,0.470281,0.173365,15.3868,2.16003,9.97484,9.559,6.77365,1.87868,0.836079,0.661268,
208000,6656000,0.391219,0.470859,0.144441,15.4202,0.236765,9.9972,9.57449,6.79478,0.207271,0.0849048,0.0767313,
210000,6720000,0.391981,0.471141,0.149439,15.4522,1.40101,10.0213,9.58806,6.81259,1.11515,0.644501,0.551262,
212000,6784000,0.392666,0.464641,0.143322,15.4839,0.545031,10.0429,9.60267,6.83228,0.485852,0.186557,0.161874,
214000,6848000,0.393317,0.462297,0.145449,15.513,0.699252,10.0634,9.61562,6.84986,0.558985,0.301402,0.292652,
216000,6912000,0.39405,0.472484,0.134537,15.5346,0.713381,10.0795,9.62486,6.86206,0.654343,0.23559,0.158888,
218000,6976000,0.394743,0.469609,0.137809,15.5548,0.237617,10.097,9.6324,6.87152,0.215855,0.0799775,0.0589256,
220000,7040000,0.395469,0.474547,0.131643,15.5743,0.681385,10.1119,9.64059,6.88241,0.590147,0.267114,0.211333,
222000,7104000,0.396213,0.478094,0.139989,15.6044,0.590347,10.1339,9.65362,6.89981,0.46038,0.212491,0.302338,
224000,7168000,0.396816,0.463797,0.136383,15.622,1.27146,10.1495,9.65997,6.90793,1.12313,0.476183,0.358381,
226000,7232000,0.397476,0.471328,0.138867,15.6491,0.611288,10.169,9.67195,6.92385,0.490823,0.268099,0.246755,
228000,7296000,0.398119,0.470828,0.141092,15.6705,2.0395,10.1866,9.68032,6.93456,1.67018,0.90875,0.737719,
230000,7360000,0.398755,0.471188,0.137292,15.702,0.876135,10.2094,9.69423,6.95288,0.751732,0.275673,0.35569,
232000,7424000,0.399398,0.473437,0.126839,15.7316,0.612268,10.2315,9.70697,6.96965,0.578563,0.170328,0.105474,
234000,7488000,0.400013,0.471312,0.124305,15.7589,0.633334,10.2513,9.71889,6.98553,0.562959,0.234876,0.170359,
236000,7552000,0.400586,0.467672,0.125963,15.7808,0.592416,10.2679,9.72815,6.99766,0.518693,0.234383,0.164255,
238000,7616000,0.40124,0.478344,0.117539,15.8095,0.80866,10.2884,9.74093,7.01461,0.745253,0.259665,0.176362,
240000,7680000,0.401856,0.475172,0.125449,15.8316,0.377187,10.3072,9.74933,7.02505,0.338374,0.138524,0.0926497,
242000,7744000,0.402431,0.471375,0.130489,15.8542,1.2273,10.3266,9.75789,7.03561,1.09225,0.432313,0.355481,
244000,7808000,0.402995,0.471344,0.12114,15.8802,1.59042,10.3458,9.76923,7.05029,1.43776,0.582267,0.351063,
246000,7872000,0.403485,0.463234,0.123885,15.8977,0.912791,10.3605,9.77604,7.05883,0.762209,0.379435,0.32902,
248000,7936000,0.404018,0.469594,0.122132,15.9218,0.209235,10.3802,9.78559,7.07097,0.198871,0.0540604,0.0361511,
250000,8000000,0.404569,0.472813,0.129097,15.9498,0.449243,10.4007,9.79782,7.08703,0.425523,0.109712,0.093343,
252000,8064000,0.405088,0.470047,0.12336,15.9736,0.825458,10.4207,9.80696,7.09847,0.689605,0.342086,0.297997,
254000,8128000,0.405635,0.474578,0.128967,15.9925,0.575685,10.4365,9.81425,7.1077,0.525657,0.18131,0.14908,
256000,8192000,0.406089,0.463688,0.130239,16.0144,1.10163,10.4549,9.82281,7.11827,0.998404,0.385476,0.26114,
258000,8256000,0.406547,0.465187,0.117942,16.036,2.68254,10.4719,9.83166,7.12964,2.21696,1.11892,1.01447,
260000,8320000,0.40711,0.479719,0.117219,16.0581,1.07353,10.4899,9.84039,7.14068,0.93968,0.417343,0.308678,
262000,8384000,0.407584,0.469187,0.114287,16.0735,1.10388,10.5075,9.84423,7.14418,0.90901,0.441788,0.443919,
264000,8448000,0.408094,0.474859,0.138043,16.0951,1.16434,10.5284,9.85132,7.15241,1.03017,0.390434,0.376807,
266000,8512000,0.408536,0.466953,0.119466,16.1129,1.36709,10.5444,9.85774,7.1601,1.12436,0.604057,0.489773,
268000,8576000,0.409007,0.471656,0.121819,16.1332,0.712667,10.5618,9.86541,7.16965,0.604045,0.302552,0.226904,
270000,8640000,0.409516,0.477656,0.120468,16.1593,0.499829,10.5817,9.87654,7.18379,0.446123,0.175266,0.141724,
272000,8704000,0.409989,0.473922,0.119523,16.1785,0.254333,10.5991,9.88333,7.19173,0.21718,0.102776,0.0833982,
274000,8768000,0.410441,0.471906,0.116406,16.204,0.900741,10.6192,9.8938,7.20528,0.805714,0.341564,0.213292,
276000,8832000,0.410863,0.468672,0.116411,16.2272,1.12201,10.6383,9.90292,7.2166,1.02816,0.343568,0.289417,
278000,8896000,0.41129,0.470203,0.123035,16.2469,0.603056,10.6552,9.91036,7.22594,0.516535,0.239489,0.198778,
280000,8960000,0.411698,0.468391,0.11238,16.2655,0.817354,10.671,9.91742,7.23471,0.713865,0.319364,0.237634,
282000,9024000,0.412103,0.468875,0.113916,16.2929,0.604702,10.6917,9.92917,7.24982,0.533717,0.230006,0.167056,
284000,9088000,0.412524,0.471844,0.108278,16.3057,0.231604,10.7036,9.93348,7.25503,0.208603,0.0796883,0.0614426,
286000,9152000,0.412977,0.477297,0.114044,16.3239,1.02412,10.7209,9.93953,7.262,0.914539,0.35488,0.294109,
288000,9216000,0.413393,0.472828,0.109798,16.3458,0.825038,10.7386,9.94833,7.27326,0.751173,0.266939,0.212531,
290000,9280000,0.413744,0.464297,0.122147,16.3684,3.71951,10.7568,9.95732,7.28477,3.30438,1.38274,1.00191,
292000,9344000,0.414148,0.472813,0.107467,16.39,3.71854,10.7741,9.96604,7.29585,3.45738,1.16067,0.725865,
294000,9408000,0.414551,0.473359,0.105067,16.4041,0.696002,10.7876,9.97067,7.30136,0.613213,0.239782,0.225596,
296000,9472000,0.414903,0.466656,0.10168,16.4319,0.606191,10.8069,9.98328,7.31788,0.516582,0.235872,0.212072,
298000,9536000,0.415234,0.464266,0.100891,16.4495,0.670829,10.8228,9.98959,7.32541,0.609407,0.228686,0.162286,
300000,9600000,0.415671,0.480687,0.093749,16.4676,0.381863,10.8378,9.99662,7.33419,0.35139,0.112432,0.0985058,
302000,9664000,0.415999,0.465234,0.0989347,16.4853,0.584817,10.852,10.0037,7.34321,0.518576,0.199918,0.181994,
304000,9728000,0.416398,0.476609,0.0973067,16.5039,2.08582,10.8679,10.0109,7.35198,1.89188,0.647433,0.593505,
306000,9792000,0.416775,0.474031,0.105807,16.5214,0.569557,10.8837,10.0169,7.35953,0.522565,0.182232,0.134584,
308000,9856000,0.417155,0.475297,0.0977,16.5438,0.307679,10.9009,10.0263,7.37168,0.260148,0.120063,0.112136,
310000,9920000,0.417493,0.469594,0.0966658,16.5625,0.737641,10.9188,10.0325,7.37863,0.687419,0.214291,0.160156,
312000,9984000,0.417829,0.469922,0.0986221,16.5794,0.912804,10.933,10.0389,7.38678,0.792573,0.335836,0.303734,
314000,10048000,0.41818,0.472906,0.098388,16.6009,0.540387,10.9501,10.0477,7.39798,0.474212,0.213776,0.146425,
316000,10112000,0.418511,0.470453,0.105569,16.6251,0.719666,10.9702,10.057,7.40964,0.621448,0.287271,0.221806,
318000,10176000,0.418819,0.467609,0.106415,16.6446,0.930918,10.9888,10.0635,7.4172,0.828834,0.325042,0.27201,
320000,10240000,0.419186,0.477406,0.110179,16.6632,0.633592,11.0045,10.0706,7.42616,0.541774,0.255081,0.207011,
322000,10304000,0.419516,0.472328,0.108178,16.681,0.809142,11.0211,10.0766,7.43339,0.692452,0.310549,0.280678,
324000,10368000,0.419864,0.476,0.102401,16.7,0.988827,11.0374,10.0837,7.44226,0.880562,0.364941,0.263072,
326000,10432000,0.420184,0.471922,0.111659,16.7214,0.399647,11.0561,10.0915,7.45191,0.363529,0.124871,0.109414,
328000,10496000,0.420519,0.475109,0.107097,16.7366,0.472377,11.0708,10.0963,7.45774,0.426887,0.149328,0.13641,
330000,10560000,0.420848,0.474937,0.108716,16.7575,0.439539,11.0881,10.1042,7.46807,0.395786,0.149322,0.119377,
332000,10624000,0.421179,0.475672,0.109549,16.7801,0.889928,11.1069,10.113,7.47893,0.783725,0.33373,0.257625,
334000,10688000,0.421527,0.479344,0.104931,16.7982,0.65087,11.122,10.12,7.48781,0.568449,0.22138,0.226911,
336000,10752000,0.421878,0.480484,0.10049,16.8165,0.371781,11.1381,10.1266,7.49599,0.328945,0.114967,0.129611,
338000,10816000,0.422168,0.470922,0.103165,16.8329,1.4184,11.1531,10.1322,7.50287,1.25359,0.514934,0.418594,
340000,10880000,0.422442,0.468766,0.104766,16.8533,0.211494,11.1711,10.1397,7.5119,0.179968,0.0678898,0.0879344,
342000,10944000,0.422778,0.479891,0.106421,16.8762,0.520017,11.1892,10.1489,7.52364,0.433207,0.214757,0.191385,
344000,11008000,0.423063,0.471797,0.107956,16.8951,0.588843,11.2082,10.1547,7.53021,0.517694,0.223591,0.169516,
346000,11072000,0.42336,0.474422,0.103159,16.9175,0.338207,11.2257,10.164,7.54189,0.312424,0.109031,0.0699132,
348000,11136000,0.423659,0.475359,0.103275,16.9409,0.843104,11.2442,10.1734,7.55392,0.789525,0.255957,0.148196,
350000,11200000,0.423954,0.475313,0.0967897,16.9569,0.390352,11.2593,10.1787,7.56017,0.323173,0.160506,0.148901,
352000,11264000,0.424223,0.471281,0.100633,16.9782,0.112461,11.2782,10.1865,7.56952,0.102671,0.0369171,0.0272611,
354000,11328000,0.424526,0.477859,0.0986259,16.9958,3.34798,11.293,10.1933,7.57789,3.00223,1.13924,0.947472,
356000,11392000,0.424783,0.470281,0.0963544,17.0179,1.45489,11.3107,10.202,7.58908,1.33682,0.470422,0.329125,
358000,11456000,0.425029,0.468781,0.0987266,17.0411,3.44937,11.3314,10.2103,7.59921,3.15253,1.16685,0.773419,
360000,11520000,0.425313,0.476187,0.098079,17.0586,0.657817,11.3486,10.2155,7.60576,0.576023,0.242128,0.205657,
362000,11584000,0.425592,0.475859,0.0913057,17.0782,0.0705667,11.3632,10.224,7.61667,0.0666114,0.0206719,0.0107356,
364000,11648000,0.425895,0.480687,0.0926337,17.097,0.342801,11.3785,10.2314,7.62589,0.301781,0.127526,0.100884,
366000,11712000,0.426182,0.478344,0.0887109,17.1195,1.40061,11.3967,10.2404,7.63728,1.28296,0.472684,0.303788,
368000,11776000,0.426429,0.471625,0.103519,17.1349,0.655688,11.4157,10.2433,7.63952,0.567445,0.243905,0.220097,
370000,11840000,0.4267,0.476625,0.0959756,17.1576,0.0375618,11.4334,10.2527,7.65126,0.0323592,0.0114495,0.0152541,
372000,11904000,0.426955,0.474141,0.0920304,17.1761,0.61993,11.4493,10.2596,7.65965,0.547622,0.208633,0.202225,
374000,11968000,0.427213,0.475172,0.0950806,17.1963,1.27545,11.4678,10.2665,7.66802,1.05689,0.492136,0.517246,
