LowEntropy
Actor Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-170, Activation-RELU,Layer 2,Neurons-170, Activation-RELU,Layer 3,Neurons-32, Activation-SOFTMAX,
Actor Learning Rate:,0.0005
Optimizer Type:,Momentum
Momentum Coeff:,0.95
Entropy Coeff:,0.004
Baseline Type:,Critic Network
Critic Topology:,Layer 0,Neurons-85, Activation-LINEAR,Layer 1,Neurons-85, Activation-RELU,Layer 2,Neurons-1, Activation-LINEAR,
Critic Learning Rate:,0.015
Critic Optimizer Type:,SDG

Workers:,8, Batch Size:,32


Batches,Hands,TotalAvgScore,RecentAvgScore,RecentAvgEntropy,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
208000,6656000,0.391604,0.518656,0.421731,16.2343,0.930534,10.3319,10.0499,7.47022,0.70826,0.375813,0.472256,
210000,6720000,0.392813,0.518531,0.412866,16.2889,1.26381,10.3659,10.0761,7.50659,0.890405,0.564147,0.697227,
212000,6784000,0.39398,0.516547,0.399601,16.3484,1.04574,10.4019,10.1051,7.54708,0.707423,0.475637,0.605716,
214000,6848000,0.395194,0.523906,0.358103,16.4067,1.48186,10.4379,10.1333,7.5861,1.1574,0.606747,0.698724,
216000,6912000,0.396326,0.517391,0.328088,16.4631,1.40954,10.4723,10.1605,7.62428,1.11946,0.53631,0.667824,
218000,6976000,0.397474,0.521453,0.291079,16.5313,1.87465,10.5133,10.1942,7.67015,1.42947,0.918254,0.79229,
220000,7040000,0.398614,0.522922,0.295029,16.5876,0.939863,10.5487,10.2214,7.70698,0.763769,0.379152,0.395275,
222000,7104000,0.39978,0.528078,0.287629,16.6431,1.6796,10.5835,10.2483,7.74318,1.35081,0.616843,0.784768,
224000,7168000,0.400873,0.522125,0.272092,16.7058,1.0218,10.6213,10.2792,7.78529,0.747657,0.396428,0.572651,
226000,7232000,0.401918,0.518984,0.274533,16.7505,0.238771,10.6499,10.3004,7.81406,0.176903,0.0926059,0.130924,
228000,7296000,0.403003,0.525609,0.280912,16.7857,0.510839,10.6741,10.316,7.83584,0.404832,0.211668,0.228615,
230000,7360000,0.404062,0.524766,0.239615,16.831,0.817914,10.7027,10.3378,7.86539,0.634334,0.284643,0.430791,
232000,7424000,0.405059,0.519766,0.271559,16.8872,0.513278,10.7374,10.365,7.90273,0.403341,0.233491,0.215061,
234000,7488000,0.406065,0.522734,0.235862,16.9463,0.799311,10.7729,10.3944,7.94228,0.658656,0.305078,0.334661,
236000,7552000,0.407078,0.525563,0.241426,16.976,0.914698,10.7943,10.4072,7.95987,0.676719,0.400335,0.467393,
238000,7616000,0.408027,0.520031,0.233301,17.0191,1.17443,10.8215,10.4279,7.98773,1.0059,0.401787,0.453878,
240000,7680000,0.409032,0.528625,0.210745,17.0709,1.6692,10.8533,10.4536,8.02148,1.19903,0.715868,0.914376,
242000,7744000,0.409986,0.524484,0.193351,17.1142,1.22125,10.8804,10.4747,8.04946,1.0407,0.444118,0.459523,
244000,7808000,0.4109,0.521453,0.184199,17.1573,0.232507,10.9084,10.4953,8.07634,0.181409,0.0958743,0.109355,
246000,7872000,0.411885,0.532078,0.194395,17.1883,1.27893,10.9297,10.5092,8.09533,1.03564,0.492957,0.565787,
248000,7936000,0.412849,0.531375,0.198723,17.2339,0.901692,10.958,10.5315,8.1249,0.761646,0.297928,0.379714,
250000,8000000,0.413777,0.528953,0.203467,17.2774,0.420318,10.9868,10.5521,8.1519,0.334475,0.168512,0.19078,
252000,8064000,0.414758,0.537328,0.197147,17.3118,2.06322,11.0101,10.5679,8.1729,1.56622,0.823203,1.06121,
254000,8128000,0.415671,0.530734,0.167975,17.3559,0.932146,11.038,10.5895,8.20075,0.737506,0.368289,0.435138,
256000,8192000,0.416573,0.531094,0.168203,17.3939,0.358715,11.0619,10.608,8.22511,0.29022,0.140623,0.15708,
258000,8256000,0.417509,0.537359,0.166694,17.4222,0.603368,11.0808,10.6212,8.24258,0.516277,0.220024,0.221587,
260000,8320000,0.418405,0.533906,0.173502,17.4525,1.30125,11.1023,10.6347,8.26023,0.974759,0.530424,0.67952,
262000,8384000,0.419297,0.535281,0.162937,17.491,1.30753,11.1263,10.6536,8.28496,0.937233,0.583081,0.700891,
264000,8448000,0.420197,0.538172,0.148251,17.5217,0.482256,11.1469,10.668,8.30361,0.366406,0.188909,0.25026,
266000,8512000,0.421041,0.532438,0.151059,17.5545,1.6446,11.1688,10.6832,8.32395,1.39094,0.68482,0.548653,
268000,8576000,0.421918,0.5385,0.153866,17.5926,2.3065,11.1933,10.7016,8.34773,1.94935,0.944064,0.792904,
270000,8640000,0.422734,0.532078,0.157097,17.6245,1.11291,11.2144,10.7167,8.36729,0.976183,0.357601,0.397174,
272000,8704000,0.423526,0.530406,0.170391,17.6543,0.404744,11.2349,10.7303,8.38524,0.338479,0.160799,0.152949,
274000,8768000,0.424323,0.532719,0.168217,17.6978,0.528266,11.2622,10.7517,8.41295,0.4166,0.214097,0.244279,
276000,8832000,0.425106,0.532391,0.15121,17.7282,1.67723,11.2826,10.7659,8.43136,1.31519,0.753855,0.717699,
278000,8896000,0.425805,0.522344,0.145223,17.7651,0.609812,11.3064,10.7836,8.45447,0.478512,0.240658,0.291513,
280000,8960000,0.426637,0.54225,0.146385,17.8005,0.530125,11.3301,10.8002,8.47611,0.420923,0.221887,0.233715,
282000,9024000,0.427439,0.539703,0.149674,17.8332,2.03616,11.3532,10.8147,8.4952,1.72032,0.827271,0.708561,
284000,9088000,0.428213,0.537359,0.141417,17.8604,0.340593,11.3726,10.8268,8.51094,0.28819,0.115247,0.140242,
286000,9152000,0.428976,0.537297,0.141109,17.895,0.389805,11.3953,10.8432,8.53233,0.332305,0.156811,0.130122,
288000,9216000,0.42973,0.537578,0.139099,17.9266,0.395397,11.4171,10.8579,8.55101,0.291321,0.159417,0.214609,
290000,9280000,0.430443,0.533172,0.132503,17.9606,0.345922,11.4388,10.8745,8.57218,0.291932,0.132273,0.130158,
292000,9344000,0.43115,0.533609,0.154465,17.997,0.772184,11.4623,10.892,8.59503,0.646775,0.309594,0.286534,
294000,9408000,0.431922,0.544703,0.137589,18.0337,1.11726,11.4855,10.9099,8.6181,0.83681,0.4714,0.570788,
296000,9472000,0.432633,0.537156,0.138976,18.0676,1.3432,11.5077,10.9261,8.63889,1.09831,0.524333,0.568292,
298000,9536000,0.433313,0.533906,0.138541,18.0943,0.820459,11.5266,10.9382,8.65422,0.699661,0.28085,0.323652,
300000,9600000,0.434038,0.542109,0.136291,18.1261,0.834241,11.5474,10.9535,8.6738,0.66846,0.334792,0.370182,
302000,9664000,0.434767,0.544078,0.130613,18.1576,0.543938,11.5687,10.9682,8.69257,0.4519,0.192909,0.233326,
304000,9728000,0.435439,0.536906,0.127164,18.1956,0.195058,11.5924,10.9871,8.71649,0.153485,0.0726812,0.0959549,
