Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
112000,0.33558,0.313,11.1767,0.456298,7.5353,7.54712,3.34357,0.162038,0.248785,0.346494,
113000,0.335823,0.363,11.1752,2.88686,7.5348,7.54659,3.34092,1.14117,1.43443,2.23027,
114000,0.335763,0.329,11.1764,0.580411,7.53532,7.54721,3.34225,0.218846,0.293639,0.450289,
115000,0.335609,0.318,11.1766,0.575824,7.53559,7.54753,3.34149,0.200616,0.28194,0.460257,
116000,0.336,0.381,11.1769,1.03075,7.53578,7.54779,3.34161,0.408796,0.525241,0.787059,
117000,0.335462,0.273,11.1781,0.477319,7.5361,7.54815,3.34392,0.190235,0.243855,0.363564,
118000,0.334831,0.261,11.1787,0.239255,7.53643,7.54853,3.34448,0.0832188,0.115191,0.19248,
119000,0.334857,0.338,11.1794,0.581745,7.53652,7.54871,3.34632,0.197507,0.296759,0.459731,
120000,0.334708,0.317,11.1825,2.73714,7.53734,7.54975,3.35224,0.981279,1.42622,2.12012,
121000,0.33481,0.347,11.1816,0.764388,7.53686,7.54926,3.35156,0.233672,0.398453,0.609033,
122000,0.334918,0.348,11.1795,0.721792,7.53614,7.54842,3.34787,0.244834,0.353476,0.579737,
123000,0.335073,0.354,11.1761,0.538371,7.53491,7.54704,3.34247,0.217472,0.28818,0.399376,
124000,0.335242,0.356,11.1767,1.1582,7.53499,7.5472,3.344,0.391258,0.594805,0.913541,
125000,0.33496,0.3,11.1781,0.900462,7.53546,7.54787,3.34623,0.339812,0.452292,0.700566,
126000,0.334714,0.304,11.18,0.481764,7.53621,7.54869,3.34903,0.179151,0.252223,0.369304,
127000,0.334693,0.332,11.1816,0.775017,7.5366,7.54926,3.35204,0.312425,0.437655,0.558122,
128000,0.335008,0.375,11.1815,0.408666,7.53649,7.54919,3.3523,0.125888,0.200072,0.333363,
129000,0.335364,0.381,11.1867,8.43949,7.53824,7.55131,3.36072,2.82995,4.43443,6.5994,
130000,0.335446,0.346,11.1883,1.01127,7.53857,7.55184,3.36427,0.343354,0.482669,0.819631,
131000,0.335069,0.286,11.1888,0.509139,7.53862,7.55207,3.36534,0.188482,0.270241,0.388158,
132000,0.334985,0.324,11.1893,0.527213,7.53874,7.55221,3.36633,0.149919,0.258281,0.434475,
133000,0.334947,0.33,11.1881,0.557287,7.53826,7.5517,3.36445,0.225798,0.271858,0.430902,
134000,0.334948,0.335,11.1861,0.356019,7.53766,7.55104,3.36084,0.115023,0.172183,0.289607,
135000,0.334793,0.314,11.1892,1.12333,7.53879,7.55235,3.36549,0.344544,0.535558,0.925389,
136000,0.334824,0.339,11.1879,0.95946,7.53822,7.55179,3.36374,0.302609,0.46784,0.7811,
137000,0.335212,0.388,11.1877,0.66333,7.53807,7.55168,3.36384,0.223554,0.329973,0.530234,
138000,0.335384,0.359,11.1874,0.548155,7.53785,7.5515,3.36346,0.191333,0.269281,0.437439,
139000,0.335331,0.328,11.1856,0.519177,7.53719,7.55074,3.36074,0.181719,0.271113,0.403758,
140000,0.335721,0.39,11.1877,0.899878,7.53786,7.55165,3.36428,0.280906,0.466753,0.71625,
141000,0.335766,0.342,11.1878,2.84723,7.53796,7.55178,3.36388,1.01169,1.51252,2.18986,
142000,0.335676,0.323,11.1855,0.727334,7.53712,7.55086,3.36016,0.22087,0.332434,0.608045,
143000,0.335776,0.35,11.1858,0.546886,7.53716,7.55094,3.36097,0.218208,0.279242,0.416525,
144000,0.335931,0.358,11.1857,0.552407,7.53731,7.55107,3.36014,0.15603,0.248351,0.468114,
145000,0.336076,0.357,11.184,0.810372,7.53671,7.55033,3.35743,0.248727,0.388021,0.666542,
146000,0.336151,0.347,11.1842,0.463998,7.53681,7.55063,3.35728,0.150191,0.238414,0.36864,
147000,0.336435,0.378,11.1844,0.59411,7.53699,7.55083,3.35704,0.230064,0.314332,0.44859,
148000,0.336473,0.342,11.1849,0.333586,7.53713,7.55098,3.35809,0.113436,0.157851,0.2711,
149000,0.33645,0.333,11.1861,0.493528,7.53743,7.5514,3.36047,0.137917,0.242914,0.406868,
150000,0.3361,0.284,11.1868,0.4927,7.53768,7.55175,3.3614,0.173333,0.253839,0.385064,
151000,0.336179,0.348,11.1876,0.6524,7.53784,7.55197,3.3633,0.214302,0.325891,0.522967,
152000,0.336197,0.339,11.1885,1.01528,7.53821,7.55234,3.36447,0.299645,0.52994,0.812514,
153000,0.336059,0.315,11.1882,0.799206,7.53817,7.55226,3.36388,0.299994,0.411339,0.616063,
154000,0.335857,0.305,11.187,0.565939,7.53778,7.55188,3.36171,0.208705,0.282139,0.44399,
155000,0.335845,0.334,11.1848,0.593867,7.53702,7.55101,3.35778,0.23418,0.321507,0.440989,
156000,0.335885,0.342,11.1854,0.547662,7.537,7.5511,3.35972,0.198255,0.288589,0.421124,
157000,0.336134,0.375,11.1834,0.584205,7.53633,7.5504,3.35601,0.173927,0.296494,0.472373,
158000,0.336089,0.329,11.1834,0.433329,7.53649,7.55056,3.3555,0.151431,0.227655,0.336178,
159000,0.336145,0.345,11.184,0.930646,7.53669,7.55087,3.35627,0.306517,0.473397,0.7403,
160000,0.335794,0.28,11.1838,2.97105,7.53649,7.55069,3.35645,0.834111,1.56746,2.38211,
161000,0.336292,0.416,11.1829,0.351201,7.53593,7.55009,3.35604,0.125958,0.18187,0.272764,
162000,0.336358,0.347,11.183,0.738219,7.53599,7.55022,3.35595,0.271486,0.365127,0.581331,
163000,0.336368,0.338,11.184,1.18668,7.53638,7.55064,3.35763,0.461255,0.584811,0.923822,
164000,0.336591,0.373,11.1837,0.558009,7.53607,7.55039,3.35764,0.189363,0.274259,0.447546,
