Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
176000,0.342784,0.399,11.4376,1.19938,7.617,7.60014,3.87779,0.552975,0.567646,0.900279,
177000,0.34252,0.296,11.4513,0.675881,7.62107,7.60532,3.89999,0.478728,0.363055,0.309557,
178000,0.342528,0.344,11.448,1.21315,7.62023,7.60398,3.89466,0.875845,0.655687,0.524128,
179000,0.342408,0.321,11.4607,0.638364,7.62455,7.60922,3.91335,0.410038,0.394707,0.289109,
180000,0.342417,0.344,11.4522,0.585117,7.6231,7.6063,3.89675,0.401893,0.338117,0.257916,
181000,0.342287,0.319,11.4471,0.491461,7.62224,7.60455,3.8869,0.21775,0.226592,0.377855,
182000,0.341973,0.285,11.4491,0.564336,7.62298,7.60544,3.88967,0.222395,0.265558,0.445528,
183000,0.342169,0.378,11.4604,3.47337,7.62804,7.61051,3.90295,1.37785,1.62301,2.74439,
184000,0.342375,0.38,11.4589,0.836851,7.62948,7.6105,3.89598,0.592958,0.470122,0.35736,
185000,0.342168,0.304,11.4549,0.938623,7.62815,7.60878,3.88997,0.472659,0.420119,0.693619,
186000,0.341978,0.307,11.4568,0.000286727,7.62873,7.60943,3.89329,0.000202102,0.000163245,0.00012132,
187000,0.34193,0.333,11.4446,0.648012,7.62621,7.60486,3.87125,0.197447,0.259089,0.560185,
188000,0.342117,0.377,11.4454,0.723736,7.62733,7.60523,3.87055,0.327429,0.359864,0.5358,
189000,0.342196,0.357,11.4376,2.62492,7.6252,7.60222,3.85775,1.96772,1.39273,1.03854,
190000,0.342568,0.413,11.4307,0.30669,7.62332,7.59958,3.84609,0.1418,0.144782,0.230194,
191000,0.342628,0.354,11.4123,0.56729,7.61778,7.59237,3.81669,0.195634,0.249558,0.470389,
192000,0.342729,0.362,11.4044,0.865316,7.61675,7.59022,3.79913,0.308597,0.410196,0.696619,
193000,0.342637,0.325,11.3988,0.448456,7.61607,7.58879,3.78664,0.190962,0.231808,0.333034,
194000,0.342639,0.343,11.3994,3.37416,7.61652,7.58929,3.78645,1.0115,1.54207,2.82557,
195000,0.342903,0.394,11.4051,1.54168,7.61833,7.59186,3.7948,1.10078,0.848297,0.66742,
196000,0.342842,0.331,11.4124,0.462229,7.62049,7.59446,3.80717,0.33459,0.257167,0.188602,
197000,0.342832,0.341,11.4095,0.76417,7.62069,7.59414,3.79867,0.233937,0.349337,0.638117,
198000,0.34297,0.37,11.4186,1.12441,7.62295,7.597,3.81568,0.817825,0.592539,0.494319,
