Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
223000,0.337919,0.336,11.2683,0.618346,7.59328,7.56438,3.47802,0.197923,0.288708,0.509732,
224000,0.337951,0.345,11.2687,0.596644,7.59342,7.56451,3.47873,0.227648,0.297649,0.464291,
225000,0.337938,0.335,11.2691,0.598068,7.59342,7.56465,3.47988,0.188333,0.298943,0.482544,
226000,0.337929,0.336,11.2696,0.625501,7.5936,7.56487,3.48064,0.222758,0.294669,0.504777,
227000,0.337837,0.317,11.2762,0.625507,7.59594,7.56772,3.4905,0.195122,0.290982,0.518185,
228000,0.337737,0.315,11.279,3.8625,7.59669,7.56879,3.49567,1.59592,2.08154,2.83534,
229000,0.337716,0.333,11.2841,0.636416,7.59824,7.57086,3.50435,0.226836,0.309959,0.50744,
230000,0.3376,0.311,11.2811,0.722803,7.5973,7.56965,3.49923,0.262418,0.363876,0.566724,
231000,0.337502,0.315,11.2804,0.644528,7.59692,7.5693,3.4987,0.210249,0.287509,0.537169,
232000,0.337474,0.331,11.2822,0.600742,7.59745,7.56988,3.50187,0.186706,0.278688,0.498362,
233000,0.337442,0.33,11.2834,5.23192,7.59796,7.57051,3.50347,1.56971,2.3808,4.38643,
234000,0.33744,0.337,11.2811,0.64809,7.59691,7.56933,3.50079,0.249227,0.304487,0.514971,
235000,0.337409,0.33,11.2827,0.594618,7.5977,7.57016,3.50233,0.207509,0.242528,0.501688,
236000,0.337487,0.356,11.2796,0.573225,7.59644,7.56875,3.49815,0.184933,0.254451,0.479209,
237000,0.337544,0.351,11.2783,0.630307,7.59589,7.56809,3.49648,0.241646,0.304311,0.496275,
238000,0.337315,0.283,11.28,0.636908,7.59662,7.56887,3.49885,0.270705,0.319181,0.480098,
239000,0.337163,0.301,11.2813,0.732982,7.59704,7.56935,3.50103,0.264812,0.333177,0.596766,
240000,0.337033,0.306,11.275,0.704669,7.59501,7.56683,3.49072,0.367985,0.383107,0.463007,
241000,0.336946,0.316,11.275,0.660773,7.59509,7.56686,3.49033,0.245701,0.332435,0.515498,
242000,0.336913,0.329,11.2783,0.736497,7.59602,7.56796,3.49654,0.316122,0.381322,0.545058,
243000,0.337012,0.361,11.2855,0.568503,7.59775,7.57062,3.51021,0.220742,0.266739,0.450909,
244000,0.336996,0.333,11.2868,0.640649,7.59816,7.57107,3.51273,0.224875,0.289965,0.525151,
245000,0.33689,0.311,11.2882,0.627653,7.59867,7.57162,3.51492,0.220581,0.283792,0.514543,
246000,0.337094,0.387,11.2916,3.3013,7.59963,7.57288,3.52086,1.20376,1.53441,2.66367,
247000,0.337182,0.359,11.2888,1.19512,7.59871,7.5718,3.51637,0.386358,0.569895,0.976863,
248000,0.337403,0.392,11.2948,0.667753,7.60075,7.57436,3.52563,0.25571,0.332214,0.519751,
